,,Notes,,,,
,Script ID,,Shock,Grid,Sharp,
,Parent Personality,,,,,
,Name,,Tony Xu,Maria Valdes,Sharp,
INFO,Data,Scripting info for reference,"Id = ""Pilot_Shock"", Skill = Repair doubles as lightning whip","Id = ""Pilot_Grid"", Skill = Buildings are shielded for duration of attack","Id = ""Pilot_Sharp"", Skill = Bionic Strike repair.",
,plan,Mini personal history,,,,
,Personality,Character guidelines for chatter,Pinnacle,R.S.T,Pinnacle,
,,,,,,
Game States,Gamestart,This happens at the start of a new game,"""I shall do my best to save this timeline, but fair warning - my methods may seem... unconventional."", ""The Vek are still susceptible to voltage damage in this timeline, yes? Excellent, let's get to work."",","""Arise, ye wretched of the earth! Together, we will win!"",""I'll work with the corps if I have to. For once, they're the lesser evil."",","""Humans are not worth saving. You better maket his worth my while."",""""Humans and Vek are both disgusting. I can't believe I have to pick sides here..."",",
,FTL_Found,Happens on the island screen after finding the FTL pilot in a pod.,"ﾓHe - or perhaps they - appear to be trying to communicate."",""We finally make SETI contact, and I have my hands full saving the world. Typical."",",,"""What advanced technology is THIS?"",",
,FTL_Start,Happens after you start a new game with an FTL pilot. Only needed for Recruits,,,,
*,Gamestart_PostVictory,"If this unit is dead, but gets repaired","""Flush with success, and back to the grind already... Just like academia."",""I would have liked to enjoy the thrill of victory a while longer. But the work is never done."", ""We know for a fact the Vek can be defeated now. Time to start refining our technique."",","""Another timeline. And just like that, we're back to fighting for survival."",""I know we can beat them. I've seen it happen now."",""The fight is never over. Remember: the corporate island leaders don't have the common people's interest at heart."",","""Bah. Wasn't saving these people ONCE enough of a chore already?"",",
,Death_Revived,,"""It seems I am still alive. A pleasant surprise, certainly."",""<strained laugh> Alright, now where was I?"",""That was harrowing. Almost as much as applying for tenure."",","""I'm still in the fight!"", ""I'm back in the fight. What happened?"",""Ughhh... it looks like I'm still alive."",","""You thought you could take me out? Think again!"",""I am far hardier than any human!"",",
,Death_Main,If this unit dies.,"""That's- ah, not ideal-"",""I'm afraid #self_mech has taken too much da-"",""I don't see a plausible way out of this-"",""No! My mech's not responding, I-"",""The hull is compromised, I don't think I can make it!"",","""My #self_mech is damaged, I-"", ""Keep those people safe! I can't-"", ""Hull is critical!"",","""Stop taking damage, you primitive machine!"",""You think this will take me out? I've got backups!"", ""Do your worst!"",",
,Death_Response,"If another unit dies.
Use #main to say the dying unit's name.","""#main_second, do you copy? Damnation. Alright, keep it together."", ""We've lost #main_second. Not an ideal turn of events."", ""#main_second is down!"",","""#main_first, are you okay? #main_first?"", ""Damn it... we're losing too many!"", ""#main_second is down! Repeat, #main_second is down!"",","""Typical. My pathetic teammates cannot be relied upon."",""#main_second couldn't pack the heat. Good riddance."",""Ugh, this means more work for the rest of us."",",
,Death_Response_AI,If another Mech dies but it doesn't have a pilot to die.,"""#main_mech has ceased operations. Now what?"", ""Let's hope we can finish this fight without the #main_mech."",""Well. At least that didn't have a pilot inside."",","""#main_mech is out of commission. We need to pick up the slack."",""It was on autopilot, but don't get sloppy. It could be any one of us next."",","""Now that is a tragedy. That #main_mech was sublime in its design."",""A shocking waste."",",
*,TimeTravel_Win,Last thing pilot says before time traveling after a victory.,"""We did beat the odds. I didn't think we would."", ""This was just one timeline... How many more?"", ""If we don't see each other again, #squad... This has been highly educational."",","""Finally... all those people are safe."",""We did it. I knew we could do it!"",""We are strongest united. We proved that today."",""Remember the lesson we learned here today, #squad. Together, we can do anything.""","""All the pitiful humans we saved had better erect a statue in my honor."",""I have proven my superiority over humans and Vek alike, once and for all!""",
,Gameover_Start,Right when you lose,"""The lights are going out..."",""No... we can't fight them without power..."", ""My God... there are so many of them."",""And it's over, just like that..."",","""I'm losing control of my #self_mech! There's nothing I can do!,""There are so many... too many to fight..."",""The grid, the grid is down! We've lost!""",,
,Gameover_Response,Response to above,"""I... I have to go. This isn't fair, I'm sorry."",""I'll save the next timeline if it's the last thing I do."",","""We need to take these people with us! There must be a way!"",""I... I'm sorry. So sorry. Preparing breach.""",,
,,,,,,
UI Barks,Upgrade_PowerWeapon,Turn on a new weapon.,"""Excellent. I cannot wait to use this."", ""The wonders of technology. The Vek won't stand a chance."",""A fascinating weapon. I look forward to exploring its untapped potential."",",,,
,Upgrade_NoWeapon,If you have no weapon powered. This plays every time you remove all weapons from the Pilot.,"""Are you... planning on giving that back to me?"",""...You're not planning on using me in a strictly decoy capacity, are you? I'd rather you didn't."", ""Ahem. And now what?"", ""I can try to cobble something together out of spare parts. But I'd much rather have a proper weapon."",",,,
,Upgrade_PowerGeneric,"Diverting reactor power to either Health or Move (basic Mech stats, not a weapon).","""I've adjusted the circuits. We're good to go.ﾔ,ﾔIt always feels satisfying to squeeze tech like this to its fullest potential,ﾔ,ﾔMech successfully overclocked.ﾔ,",,,
,,,,,,
Mid- Battle,MissionStart,Generic mission start,"""We're live. Alright, Tony, focus..."",""This is it. Let's beat these things!"",",,,
